nama_barang,merk,stok_barang,harga_lama,harga_baru,discount_percent,description,rating_penjualan,total_terjual,total_pemasukan,tanggal_pembelian
Generic Chromecast 2 HDMI Mirror TV Stick RK3036 Dual Core 1080P H.265 Anycast Miracast Dongle DLNA Airplay WiFi Display IOS10 YouTube 100%  Q1 Mirroring Dongle Wireless HDMI/AV Dongle TV Stick 1080P HD TV Dongle Wifi Display Dongle Plug & Play,Generic,45,Rp23.100,Rp1.702,0.26,   His digital video audio HDMI cable is suitable for HDMI to HDMI connection suitable for HDTV home theater DVD player projector PS3 xbox360 and other devices. Gold plated connectors are corrosion resistant to ensure optimal connection and maximum signal transmission. It is made of pure anaerobic copper conductor with the highest conductivity and reliability. Compatible with a variety of audio formats from stereo to multi channel sound. Transmit digital audio and video signals at a warp speed of 10.2 g/s or more!This is UGREEN high speed HDMI cable with ethernet support 1080P full HD resolution for 3D televisionHD 4000*2000 televisionApple TVXbox 360Xbox and more HDMI devices. ,2.5 out of 5,2,Rp46.200,2019-1-27
Light Wave UPS 650VA   High/Low voltage protection   Auto charge function,Light Wave,86,Rp65.000,Rp5,0.23,"Lightwave has been the forefront of technology for over a decade. 
Lightwave accessories are synonymous with the latest in information 
technology solar renewable energy and power. Having built a large base
 of loyal customers we have now included mainstream IT products to cater
 to their demand. It features high/Low voltage protection Overload / short protection Intelligent battery management Auto charge function. Place your order online on Jumia Kenya and have it delivered to your doorstep.",5 out of 5,2,Rp130.000,2019-3-7
M Luck SOLAR RADIO WITH BLUETOOTHTORCH SOLAR PANEL,M Luck,25,,Rp3.999,,Order ,4 out of 5,2,Rp0,2018-5-27
Generic Digital Multimeter LCD AC/DC Ammeter Resistance Capacitance,Generic,99,Rp25.000,Rp1.077,0.57,,4 out of 5,2,Rp50.000,2019-7-27
Generic Aerial Antenna with Free Heavy Duty Power Extension,Generic,82,Rp10.000,Rp879,0.12,Digital receiver antenna This antenna is UHF AND VHF signal receive that help your decoder or your digital TV just connect the antenna to the pole and position it facing the mask signal distributor then connect to the decoder or digital and once the signal if scanned you are ready to receive digital signal clearly  .Oder for this digital area and have Jumia Kenya deliver it right at your doorstep.,4.5 out of 5,2,Rp20.000,2019-12-22
Handboss Universal Foam Cleaning Agent   Green,Handboss,45,Rp10.010,Rp399,0.6,The Handboss Universal Foam Cleaning Agent contains a natural surface active agent with fast penetration and cleaning property for powerful dirt removing performance. This non toxic anti microbial and deodorizing agent can be used on surfaces of machines metals plastic various office equipment including computers photocopy machines printers interior and exterior surface of car and industry machines furniture floor and ceramic products.,5 out of 5,2,Rp20.020,2019-6-24
Generic LESHP HD 1080P HDMI to VGA Male to Male Audio Cable Adapter Converter 1.8 M,Generic,76,Rp21.880,Rp736,0.66,,2.5 out of 5,2,Rp43.760,2018-8-21
Tonymax 3.1 Channel Hometheater bluetooth Sub Woofer 12000W Bluetooth/USB/SD/FM,Tonymax,53,Rp150.000,Rp6.197,0.59,,4 out of 5,2,Rp300.000,2019-7-31
"LG 49UM7340PVA 49"" Smart UHD 4K LED TV",LG,98,Rp790.000,Rp57.799,0.27,True Immersion.,4 out of 5,2,Rp1.580.000,2019-10-6
Generic Hot 2019 MP4 Player MP3 Digital 8GB Led Video SD LCD iPod Music Home Photo Sport Tool HD（Black）,Generic,80,Rp18.380,Rp1.274,0.31,,3 out of 5,2,Rp36.760,2018-2-27
Generic Gadmei Analogue Tv combo box   Black,Generic,88,Rp30.000,Rp249,0.17,Get this Gadmei Anogue Tv combo box to enable you watch tv on your computer monitor.,3 out of 5,2,Rp60.000,2018-1-11
Generic Ethernet LAN Network Cable 100M/1000Mbps High Quality RJ45 CAT6 30M,Generic,34,,Rp1.268,,,3 out of 5,2,Rp0,2019-9-1
Generic 3.5mm Wired Gaming Headset On Ear Sports Headphones Ear hook Music Earphones for Smartphones Tablet Laptop Desktop PC,Generic,46,Rp5.140.000,Rp267,0.48,High quality sound with powerful bass restores the scene effect and brings you vivid sound field and shocking sound.,5 out of 5,2,Rp10.280.000,2018-12-28
TCL 43” ANDROID TV NETFLIX YOUTUBE 43S6500   Black,TCL,86,Rp450.000,Rp3.499,0.22,,4.5 out of 5,2,Rp900.000,2018-3-15
Royal Sound Home Theater Bluetooth Speaker Sub Woofer System   9800W PMPO,Royal Sound,83,Rp154.990,Rp5.245,0.66,"

",4.5 out of 5,2,Rp309.980,2019-6-21
Homestar BO1 Ortable Wireless Speaker MP3 Player & Radio,Homestar,28,,Rp1.999,,"

 ",4.5 out of 5,2,Rp0,2018-4-11
VON VEH400SAP Home Theatre 400watts,VON,41,Rp257.990,Rp1.847,0.28,Von VEH400SAP home theatre with,5 out of 5,2,Rp515.980,2019-6-14
"Gld 32L12   32"" Inch HD LED Digital TV   Black",Gld,88,Rp250.000,Rp12.999,0.48,,5 out of 5,2,Rp500.000,2018-1-22
Haylou GT1 Pro True Wireless Earphones IPX5 Waterproof Earbuds   BLACK,Haylou,21,Rp34.650,Rp23,0.34,Main Features:,5 out of 5,2,Rp69.300,2018-4-7
Felyby MIC 90 professional computer desktop microphone for Youtube podcast instrument live USB condenser microphone,Felyby,29,Rp59.990,Rp2.999,0.5,,4.5 out of 5,2,Rp119.980,2018-7-13
Generic Ta 1080P HDMI Male To VGA Female Video Cable Converter With 3.5mm Audio Adapter Black,Generic,37,Rp15.130,Rp511,0.66,,4.5 out of 5,2,Rp30.260,2019-6-14
Generic G4 Chromecast Chrome Cast Ultra 4K Digital Media Video Stream HDTV Black,Generic,47,Rp42.680,Rp2.144,0.5,1. Mainfunction: Support Netflix / Youtube via screen image  other applications can also work through mirroring.,5 out of 5,2,Rp85.360,2018-7-15
Generic DVD player 220 Dike+FREE HDMI Cable 1.5 Meters,Generic,36,Rp50.000,Rp285,0.43,"

",2.5 out of 5,2,Rp100.000,2018-1-16
Power King 6 Way Electronics Power Extension Cable   White,Power King,95,Rp20.000,Rp580,0.71,The 6 way power extension cable has a surge stabilizer with a neon indicator. It has a fire retardant material and it has a safe and reliable design. It also has a heavy duty,5 out of 5,2,Rp40.000,2018-4-1
Generic Mini Mirror Clip MP3 Player Portable Fashion Sport USB Digital Music Player Micro SD TF Card Media Player,Generic,28,Rp2.940.000,Rp147,0.5,This MP3 player is mini lightweight and portable. So it is very suitable for you to carry when you do sports. If you want listen to the music when do sports you can choose it. ,5 out of 5,2,Rp5.880.000,2019-7-13
Wster 2519bt Portable Wireless Speaker MP3 Player & Radio,Wster,28,Rp25.000,Rp14,0.44,"

 

",4.5 out of 5,2,Rp50.000,2019-2-4
Jerry 3.1 HIGH DEFINATION HOME THEATRE 100W NH3,Jerry,96,Rp90.000,Rp8.599,0.04,,5 out of 5,2,Rp180.000,2018-8-2
Skyworth 43” ANDROID TV NETFLIX YOUTUBE GOOGLE ASSISTANT 43TB7000 – Black,Skyworth,63,Rp360.000,Rp30.699,0.15,"

",5 out of 5,2,Rp720.000,2018-4-9
Generic Optical TV & Audio Cable,Generic,15,Rp9.990.000,Rp799,0.2,High quality fibre optic cable ensures crystal clear digital audio transmission for use with many modern Dolby Digital (Dolby 5.1 6.1 AC3 Prologic etc.) and DTS surround sound receivers DVD players MD players and recorders MP3 and DAT recorders professional Audio Cards for Computer Digital Audio workstations Outboard AD/DA Converters and satellite dish receiversCompatible with all SPDIF (Sony Philips Digital Interface Format) ADAT's DAW's and Dolby Digital DTS audio devices using the TosLink Optical interfaceImmune to electrical interference also Moulded connectors fitted on both ends,4.5 out of 5,2,Rp19.980.000,2018-1-19
Apc  Back UPS Line Interactive 700VA 4AC Outlet,Apc,21,Rp209.990,Rp1.369,0.35, by Schneider Electric powers your computer and electronic equipment during storms andoutages. The BX700UI features Automatic Voltage Regulation (AVR). This feature instantly adjusts high and low voltage fluctuations to safe levels for connected electronics saving battery power for when you need it most during storms and outages. Equipped with 4 IEC sockets the 700 keeps your desktop computer monitor or other critical devices (router modem television etc.) running when the power goes out. Specifically designed for electronic equipment in harsh power environments the Back UPS 700 maximizes productivity and work efficiency while providing critical power during emergencies.,5 out of 5,2,Rp419.980,2018-1-31
Generic Digital To Analog Audio Converter With Digital Optical Toslink And S/pdif Coaxial Inputs And Analog RCA And AUX 3.5mm (Headphone) Outputs 6 Foot Heavy Duty Optical Toslink Cable With Gold Plated Connector Tips Included,Generic,10,Rp16.000,Rp829,0.48,This Digital to Analog Audio Converter is designed for either home or professional audio switching. It converts Coaxial or Toslink digital audio signals to analog L/R audio and available for connection to an external device such as an amplifier via standard RCA style jacks.,1.5 out of 5,2,Rp32.000,2019-5-24
"North Bayou NBC1 T  17""   37""   Tilting Wall Mount  for Flat screen TV's   Black",North Bayou,90,,Rp239,,,4.5 out of 5,2,Rp0,2019-8-20
Generic Wireless Megga Bass Bass Subwoofer Bluetooth Stereo Speakerwith   mem Card USB AUX FM Radio Mic,Generic,51,Rp25.000,Rp1.378,0.45,  This speaker is equipped with powerful bass diaphragm to produce outstanding sound effect. It will give you maximum listening pleasure. It supports multiple ways of music playing for your choice via Bluetooth AUX audio cable TF card or U disk plug and play easy and conveniecnt. Make it a companion while playing games or listening to music it will create an immersive experience for you!,4 out of 5,2,Rp50.000,2018-9-2
Generic Mini Bug Gsm Wireless Spy Audio Listening Device Hear Sound On Phone Anywhere,Generic,12,Rp32.990,Rp2.639,0.2,,4 out of 5,2,Rp65.980,2018-10-2
TCL 55P8M  4K ULTRA HD ANDROID T Netflix YouTube play store  –2019,TCL,20,Rp850.000,Rp5.399,0.36,,4.5 out of 5,2,Rp1.700.000,2019-1-28
Generic Wireless Bluetooth Speaker With  RadioUSB&TF Card,Generic,82,Rp26.990,Rp2.189,0.19,,4.5 out of 5,2,Rp53.980,2018-6-9
Royal Sound S1068 3.1ch Multimedia Sub woofer System FM USBWireless BluetoothUSBFM 40000 WATTS black,Royal Sound,53,Rp269.990,Rp68,0.75,The,3.5 out of 5,2,Rp539.980,2018-3-7
Generic Car Bluetooth Audio Receiver/Adapter   white,Generic,92,Rp15.000,Rp348,0.77,,3 out of 5,2,Rp30.000,2018-11-2
Generic AV Digital Signal HDMI To 3 RCA Audio Adapter Component Converter Video Black,Generic,96,Rp13.330,Rp451,0.66,Features:,4 out of 5,2,Rp26.660,2018-1-30
Ampex Subwoofer System   Bluetooth/USB/SD/FM,Ampex,43,Rp60.000,Rp4,0.33,,2.5 out of 5,2,Rp120.000,2019-3-26
"Vision 50"" Frameless 4K Smart Android TV   Black + FREE Wall Mount",Vision,90,,Rp34.999,, ,4 out of 5,2,Rp0,2019-12-11
"TCL S68A 40"" Frameless Smart Android TV   Black",TCL,98,Rp359.900,Rp2.899,0.19,"With Android TV and Google Assistant built in what TCL S68A wants to bring to you is an unexpected experience of intelligent home life. Order your TCL S68A Smart Android TV online on Jumia and have it delivered at your doorstep.

",5 out of 5,2,Rp719.800,2019-12-23
Generic 3.5mm Audio Splitter Cable AUX Stereo 1 Male to 2 Female Headphone Extension Cable Adapter for Smart Phone Tablet PC Laptop other 3.5mm Audio Devices Silver,Generic,55,Rp2.300.000,Rp168,0.27,Audio splitter cable converts a single 3.5mm audio jack to two 3.5mm jacks one male to two female.,5 out of 5,2,Rp4.600.000,2018-8-25
Joc Rechargable Digital Selects Fm Radio with usb and memory slot   Black,Joc,37,Rp20.000,Rp699,0.65,Are you looking for a portable digital World radio receiver which is  priced competitively? Then look no further than digital selects music player/fm radio. This fm radio engineered with the cutting edge IC design boasts of clear signal reception and advanced function. The time and frequency station switch displays  the station very clearly which is further enhanced with a digitalized display. The sensitive electronic switch makes it easy for you to change bands and frequencies. It is rechargable also supports third party earphones. ,4.5 out of 5,2,Rp40.000,2019-4-7
"Tornado 32ER9500E   32"" LED TV With Built In Receiver   Black",Tornado,100,Rp149.990,Rp11.499,0.23,,5 out of 5,2,Rp299.980,2018-10-28
Aiwa JH24DT300S M7J Series 24 inch HD Digital LED Bass TV,Aiwa,92,,Rp897,,"

AIWA is a brand that has been in existance since 1951 and the introduction of a Bass Tv Vivid tune is one of the newest invention tvs in the market.",4 out of 5,2,Rp0,2018-3-23
Royal Sound Sub wooferHitech MultiMedia System FM USBWireless BluetoothUSBFM 10000 watts black,Royal Sound,85,Rp269.990,Rp47,0.83,The,3.5 out of 5,2,Rp539.980,2019-6-1
Generic 12V 5050 LED strip lights led,Generic,27,Rp23.990,Rp18,0.25,12V,5 out of 5,2,Rp47.980,2018-12-8
"Skyworth 32WH3   32"" Super Narrow Bezel Digital HD LED TV   Black",Skyworth,60,Rp139.980,Rp12.459,0.11,Breathe life into your living room with this ultra slim,4.5 out of 5,2,Rp279.960,2018-3-14
Generic Mini Wireless Bluetooth Portable Speaker Blue,Generic,72,Rp6.990.000,Rp399,0.43,,4.5 out of 5,2,Rp13.980.000,2018-7-8
"Synix 32"" HDLED Digital Television   Black +2 Years Warranty",Synix,67,Rp220.000,Rp13.399,0.39,,4.5 out of 5,2,Rp440.000,2018-7-21
Generic CAT6 5M LAN Network Cable 100M/1000Mbps High Quality GREY,Generic,32,Rp5.000.000,Rp345,0.31,,5 out of 5,2,Rp10.000.000,2018-6-29
Generic F9 1 Blutooth 5.0 True Wireless Stereo Headphones,Generic,53,Rp29.780,Rp1.519,0.49,"

",4 out of 5,2,Rp59.560,2018-8-28
Mercury 650 VA UPS   Black,Mercury,20,Rp75.000,Rp5.045,0.33,Mercury UPS 650 va,3 out of 5,2,Rp150.000,2018-3-11
Generic 1 Meter Audio Extension Cable 3.5mm Jack Male to Male AUX Cable 3.5 mm Audio Extender Cord for Computer Mobile Phones Amplifier,Generic,17,Rp1.310.000,Rp101,0.23,* Gold plated connectors provide lossless sound quality and resistance against oxidation.,4.5 out of 5,2,Rp2.620.000,2019-1-18
Duracell PLUS POWER AA  4 Pieces.,Duracell,94,,Rp550,,Duracell Plus power batteries have up to +50%  more power. These multipurpose batteries give you the freedom to enjoy your everyday appliances with power you can rely on. Duracell Plus power batteries are the best when you're looking for reliable long lasting power in your everyday devices such as motorized toys torches portable games consoles remote controls CD players etc.,4.5 out of 5,2,Rp0,2019-2-28
Amtec AM 005 2.1CH Hi Fi System   40W   Black & White,Amtec,86,Rp42.990,Rp3.915,0.09,,4.5 out of 5,2,Rp85.980,2018-8-31
LG 55UK6300PVB   55 inch Smart UHD 4K LED TV   New 2018 model,LG,68,Rp1.320.000,Rp79,0.4,"Four times the resolution. Four times the 
detail. ULTRA HD 4K resolution is four times that of Full HD resulting 
in brilliant clarity and vivid details that amaze even up close. Enjoy a
 new standard of definition.",5 out of 5,2,Rp2.640.000,2019-3-22
Starworth 13A TV Guard AC Voltage Surge Protector AVS,Starworth,58,Rp12.000,Rp875,0.27,"

",5 out of 5,2,Rp24.000,2018-5-6
Multiple Power AAA 1.2V 1100mAh Multiple Power Rechargeable Battery   MP Ni MH.....,Multiple Power,81,Rp12.000,Rp503,0.58,"

This nickel metal hydride batteries abbreviated ",4.5 out of 5,2,Rp24.000,2018-8-30
Generic Behringer HPM1000 Studio DJ Headphones,Generic,72,Rp70.000,Rp3.499,0.5,Ultra wide frequency response and dynamic range for brilliant soundOptimized oval shaped ear cups contain Cobalt capsules,4 out of 5,2,Rp140.000,2018-7-28
"Samsung 55RU7100   55""   4K UHD Smart Flat Screen   7 Series   New Model   2019   Black",Samsung,35,Rp870.000,Rp7.149,0.18,"Samsung Smart TVs are designed to give you what you really want and match your lifestyle with smart apps that make life at home more fun and full of great experiences. Order for this Samsung UA55RU7100 55""  Smart UHD 4K LED TV online from Jumia Kenya and have it delivered to your doorstep.",4.5 out of 5,2,Rp1.740.000,2018-4-24
Jbl Tune 115BT In Ear Headphones Black,Jbl,69,Rp50.000,Rp3.995,0.2,,5 out of 5,2,Rp100.000,2018-4-3
Generic Electric Voltage Detector Non Contact 90~1000V AC Tester Test METER Pen,Generic,70,Rp8.500.000,Rp290,0.66,,4 out of 5,2,Rp17.000.000,2018-5-25
Generic TV Remote Control Steel Organizer  Caddy Remote Holder Stand,Generic,58,Rp18.000,Rp999,0.44, holds up to four (4) remote controls of all sizes.Stops you from losing remotes and tidies up your mess with 4 compartments cleverly designed to store remotes for your TV wii ps3 ps4 apple TV and Fire TV stick without them falling sideways.Super Convenient: The curved fan like design keeps all 4 slots arranged so that the remotes you store inside will be easy to see and easy to reach.,5 out of 5,2,Rp36.000,2018-5-6
Generic Mini Portable Waterproof Wireless Bluetooth Speaker,Generic,65,Rp12.990, 499    1299,0.62,Shower,4 out of 5,2,Rp25.980,2019-8-21
Generic Mini Computer Speakers Portable USB Audio Music Player Speaker For MP3 Computer Laptop PC Phone,Generic,30,Rp9.990.000,Rp799,0.2,Features:,4 out of 5,2,Rp19.980.000,2019-12-21
Vitron V 527 Multimedia 2.1  Bluetooth Speaker System,Vitron,84,Rp99.990,Rp6.799,0.32,V 527 2.1CH Multimedia Speaker System   Black with FM Radio Built in amplifier  SD Card Slot and USB device playback. Vitron V 527 is a brand from Vitron with ,3 out of 5,2,Rp199.980,2018-5-25
Generic Audio USB Condenser Sound Studio Recording Vocal Microphone With Stand Mount New Gold,Generic,66,Rp47.140,Rp2.357,0.5,Specifications:,4 out of 5,2,Rp94.280,2018-5-24
Hikvision Camera  $ CCTV HD HIKVISION 720p Camera bullet  White,Hikvision,67,Rp20.000,Rp1.795,0.1,,4 out of 5,2,Rp40.000,2019-8-2
Apc APC Easy UPS BV 500VA AVR Universal Outlet 230V,Apc,99,Rp115.000,Rp8.999,0.22,APC EASY UPS BV 500VA AVR Universal Outlet 230V,4 out of 5,2,Rp230.000,2018-10-15
Chrome G5 Cast Ultra 4K Digital Media Video Stream HDTV Black,Chrome,37,Rp36.200,Rp182,0.5,1,3 out of 5,2,Rp72.400,2018-9-5
Generic Go tv decorder gotv  aerialoriginal extension cable,Generic,53,Rp60.000,Rp48,0.2,GOtv has three amazing packages for you to choose from so your family can enjoy the greatest entertainment: movies music sports kids and much more. With GOtv there's something to suit your family's need and budget.,4.5 out of 5,2,Rp120.000,2018-2-23
Generic Chromecast 2 HDMI Mirror TV Stick RK3036 Dual Core 1080P H.265 Anycast Miracast Dongle DLNA Airplay WiFi Display IOS10 YouTube 100%  Q1 Mirroring Dongle Wireless HDMI/AV Dongle TV Stick 1080P HD TV Dongle Wifi Display Dongle Plug & Play,Generic,94,Rp23.100,Rp1.702,0.26,   His digital video audio HDMI cable is suitable for HDMI to HDMI connection suitable for HDTV home theater DVD player projector PS3 xbox360 and other devices. Gold plated connectors are corrosion resistant to ensure optimal connection and maximum signal transmission. It is made of pure anaerobic copper conductor with the highest conductivity and reliability. Compatible with a variety of audio formats from stereo to multi channel sound. Transmit digital audio and video signals at a warp speed of 10.2 g/s or more!This is UGREEN high speed HDMI cable with ethernet support 1080P full HD resolution for 3D televisionHD 4000*2000 televisionApple TVXbox 360Xbox and more HDMI devices. ,2.5 out of 5,2,Rp46.200,2019-9-26
Light Wave UPS 650VA   High/Low voltage protection   Auto charge function,Light Wave,70,Rp65.000,Rp5,0.23,"Lightwave has been the forefront of technology for over a decade. 
Lightwave accessories are synonymous with the latest in information 
technology solar renewable energy and power. Having built a large base
 of loyal customers we have now included mainstream IT products to cater
 to their demand. It features high/Low voltage protection Overload / short protection Intelligent battery management Auto charge function. Place your order online on Jumia Kenya and have it delivered to your doorstep.",5 out of 5,2,Rp130.000,2018-1-10
M Luck SOLAR RADIO WITH BLUETOOTHTORCH SOLAR PANEL,M Luck,43,,Rp3.999,,Order ,4 out of 5,2,Rp0,2019-7-23
Generic Digital Multimeter LCD AC/DC Ammeter Resistance Capacitance,Generic,67,Rp25.000,Rp1.077,0.57,,4 out of 5,2,Rp50.000,2018-1-28
Generic Aerial Antenna with Free Heavy Duty Power Extension,Generic,84,Rp10.000,Rp879,0.12,Digital receiver antenna This antenna is UHF AND VHF signal receive that help your decoder or your digital TV just connect the antenna to the pole and position it facing the mask signal distributor then connect to the decoder or digital and once the signal if scanned you are ready to receive digital signal clearly  .Oder for this digital area and have Jumia Kenya deliver it right at your doorstep.,4.5 out of 5,2,Rp20.000,2019-11-24
Handboss Universal Foam Cleaning Agent   Green,Handboss,95,Rp10.010,Rp399,0.6,The Handboss Universal Foam Cleaning Agent contains a natural surface active agent with fast penetration and cleaning property for powerful dirt removing performance. This non toxic anti microbial and deodorizing agent can be used on surfaces of machines metals plastic various office equipment including computers photocopy machines printers interior and exterior surface of car and industry machines furniture floor and ceramic products.,5 out of 5,2,Rp20.020,2019-10-5
Generic LESHP HD 1080P HDMI to VGA Male to Male Audio Cable Adapter Converter 1.8 M,Generic,57,Rp21.880,Rp736,0.66,,2.5 out of 5,2,Rp43.760,2019-1-24
Tonymax 3.1 Channel Hometheater bluetooth Sub Woofer 12000W Bluetooth/USB/SD/FM,Tonymax,70,Rp150.000,Rp6.197,0.59,,4 out of 5,2,Rp300.000,2018-4-20
"LG 49UM7340PVA 49"" Smart UHD 4K LED TV",LG,71,Rp790.000,Rp57.799,0.27,True Immersion.,4 out of 5,2,Rp1.580.000,2019-1-18
Generic Hot 2019 MP4 Player MP3 Digital 8GB Led Video SD LCD iPod Music Home Photo Sport Tool HD（Black）,Generic,82,Rp18.380,Rp1.274,0.31,,3 out of 5,2,Rp36.760,2018-11-26
Generic Gadmei Analogue Tv combo box   Black,Generic,66,Rp30.000,Rp249,0.17,Get this Gadmei Anogue Tv combo box to enable you watch tv on your computer monitor.,3 out of 5,2,Rp60.000,2018-10-4
Generic Ethernet LAN Network Cable 100M/1000Mbps High Quality RJ45 CAT6 30M,Generic,36,,Rp1.268,,,3 out of 5,2,Rp0,2018-1-30
Generic 3.5mm Wired Gaming Headset On Ear Sports Headphones Ear hook Music Earphones for Smartphones Tablet Laptop Desktop PC,Generic,24,Rp5.140.000,Rp267,0.48,High quality sound with powerful bass restores the scene effect and brings you vivid sound field and shocking sound.,5 out of 5,2,Rp10.280.000,2018-10-18
TCL 43” ANDROID TV NETFLIX YOUTUBE 43S6500   Black,TCL,91,Rp450.000,Rp3.499,0.22,,4.5 out of 5,2,Rp900.000,2019-4-28
Royal Sound Home Theater Bluetooth Speaker Sub Woofer System   9800W PMPO,Royal Sound,68,Rp154.990,Rp5.245,0.66,"

",4.5 out of 5,2,Rp309.980,2019-11-21
Homestar BO1 Ortable Wireless Speaker MP3 Player & Radio,Homestar,78,,Rp1.999,,"

 ",4.5 out of 5,2,Rp0,2018-1-15
VON VEH400SAP Home Theatre 400watts,VON,45,Rp257.990,Rp1.847,0.28,Von VEH400SAP home theatre with,5 out of 5,2,Rp515.980,2019-1-24
"Gld 32L12   32"" Inch HD LED Digital TV   Black",Gld,100,Rp250.000,Rp12.999,0.48,,5 out of 5,2,Rp500.000,2019-11-26
Haylou GT1 Pro True Wireless Earphones IPX5 Waterproof Earbuds   BLACK,Haylou,50,Rp34.650,Rp23,0.34,Main Features:,5 out of 5,2,Rp69.300,2018-2-20
Felyby MIC 90 professional computer desktop microphone for Youtube podcast instrument live USB condenser microphone,Felyby,93,Rp59.990,Rp2.999,0.5,,4.5 out of 5,2,Rp119.980,2018-4-7
Generic Ta 1080P HDMI Male To VGA Female Video Cable Converter With 3.5mm Audio Adapter Black,Generic,99,Rp15.130,Rp511,0.66,,4.5 out of 5,2,Rp30.260,2019-8-11
Generic G4 Chromecast Chrome Cast Ultra 4K Digital Media Video Stream HDTV Black,Generic,84,Rp42.680,Rp2.144,0.5,1. Mainfunction: Support Netflix / Youtube via screen image  other applications can also work through mirroring.,5 out of 5,2,Rp85.360,2018-8-10
Generic DVD player 220 Dike+FREE HDMI Cable 1.5 Meters,Generic,43,Rp50.000,Rp285,0.43,"

",2.5 out of 5,2,Rp100.000,2018-12-16
Power King 6 Way Electronics Power Extension Cable   White,Power King,48,Rp20.000,Rp580,0.71,The 6 way power extension cable has a surge stabilizer with a neon indicator. It has a fire retardant material and it has a safe and reliable design. It also has a heavy duty,5 out of 5,2,Rp40.000,2019-2-8
Generic Mini Mirror Clip MP3 Player Portable Fashion Sport USB Digital Music Player Micro SD TF Card Media Player,Generic,80,Rp2.940.000,Rp147,0.5,This MP3 player is mini lightweight and portable. So it is very suitable for you to carry when you do sports. If you want listen to the music when do sports you can choose it. ,5 out of 5,2,Rp5.880.000,2019-3-24
Wster 2519bt Portable Wireless Speaker MP3 Player & Radio,Wster,24,Rp25.000,Rp14,0.44,"

 

",4.5 out of 5,2,Rp50.000,2019-12-24
Jerry 3.1 HIGH DEFINATION HOME THEATRE 100W NH3,Jerry,95,Rp90.000,Rp8.599,0.04,,5 out of 5,2,Rp180.000,2018-11-28
Skyworth 43” ANDROID TV NETFLIX YOUTUBE GOOGLE ASSISTANT 43TB7000 – Black,Skyworth,59,Rp360.000,Rp30.699,0.15,"

",5 out of 5,2,Rp720.000,2018-12-16
Generic Optical TV & Audio Cable,Generic,75,Rp9.990.000,Rp799,0.2,High quality fibre optic cable ensures crystal clear digital audio transmission for use with many modern Dolby Digital (Dolby 5.1 6.1 AC3 Prologic etc.) and DTS surround sound receivers DVD players MD players and recorders MP3 and DAT recorders professional Audio Cards for Computer Digital Audio workstations Outboard AD/DA Converters and satellite dish receiversCompatible with all SPDIF (Sony Philips Digital Interface Format) ADAT's DAW's and Dolby Digital DTS audio devices using the TosLink Optical interfaceImmune to electrical interference also Moulded connectors fitted on both ends,4.5 out of 5,2,Rp19.980.000,2019-6-27
Apc  Back UPS Line Interactive 700VA 4AC Outlet,Apc,43,Rp209.990,Rp1.369,0.35, by Schneider Electric powers your computer and electronic equipment during storms andoutages. The BX700UI features Automatic Voltage Regulation (AVR). This feature instantly adjusts high and low voltage fluctuations to safe levels for connected electronics saving battery power for when you need it most during storms and outages. Equipped with 4 IEC sockets the 700 keeps your desktop computer monitor or other critical devices (router modem television etc.) running when the power goes out. Specifically designed for electronic equipment in harsh power environments the Back UPS 700 maximizes productivity and work efficiency while providing critical power during emergencies.,5 out of 5,2,Rp419.980,2019-10-25
Generic Digital To Analog Audio Converter With Digital Optical Toslink And S/pdif Coaxial Inputs And Analog RCA And AUX 3.5mm (Headphone) Outputs 6 Foot Heavy Duty Optical Toslink Cable With Gold Plated Connector Tips Included,Generic,97,Rp16.000,Rp829,0.48,This Digital to Analog Audio Converter is designed for either home or professional audio switching. It converts Coaxial or Toslink digital audio signals to analog L/R audio and available for connection to an external device such as an amplifier via standard RCA style jacks.,1.5 out of 5,2,Rp32.000,2019-5-23
"North Bayou NBC1 T  17""   37""   Tilting Wall Mount  for Flat screen TV's   Black",North Bayou,11,,Rp239,,,4.5 out of 5,2,Rp0,2018-12-31
Generic Wireless Megga Bass Bass Subwoofer Bluetooth Stereo Speakerwith   mem Card USB AUX FM Radio Mic,Generic,72,Rp25.000,Rp1.378,0.45,  This speaker is equipped with powerful bass diaphragm to produce outstanding sound effect. It will give you maximum listening pleasure. It supports multiple ways of music playing for your choice via Bluetooth AUX audio cable TF card or U disk plug and play easy and conveniecnt. Make it a companion while playing games or listening to music it will create an immersive experience for you!,4 out of 5,2,Rp50.000,2019-4-11
Generic Mini Bug Gsm Wireless Spy Audio Listening Device Hear Sound On Phone Anywhere,Generic,32,Rp32.990,Rp2.639,0.2,,4 out of 5,2,Rp65.980,2018-3-26
TCL 55P8M  4K ULTRA HD ANDROID T Netflix YouTube play store  –2019,TCL,25,Rp850.000,Rp5.399,0.36,,4.5 out of 5,2,Rp1.700.000,2019-7-17
Generic Wireless Bluetooth Speaker With  RadioUSB&TF Card,Generic,84,Rp26.990,Rp2.189,0.19,,4.5 out of 5,2,Rp53.980,2018-7-24
Royal Sound S1068 3.1ch Multimedia Sub woofer System FM USBWireless BluetoothUSBFM 40000 WATTS black,Royal Sound,20,Rp269.990,Rp68,0.75,The,3.5 out of 5,2,Rp539.980,2018-6-3
Generic Car Bluetooth Audio Receiver/Adapter   white,Generic,32,Rp15.000,Rp348,0.77,,3 out of 5,2,Rp30.000,2018-10-8
